ıd;fiyat;tip;mkare;oda;ısıtma;balkon;konum;ilce
169;3.000.000;Daire;145;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
91;15.900.000;Villa;145;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
498;15.500.000;Villa;145;3+1;Yok;Var;İzmir;Çeşme
212;5.450.000;Daire;144;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
268;2.950.000;Daire;144;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
343;7.750.000;Daire;142;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
295;9.350.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
334;6.750.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
366;6.500.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
271;6.200.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
122;5.250.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
296;42.500;Daire;140;2+1;Merkezi (Pay Ölçer);Var;İzmir;Menemen
336;4.950.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
216;4.900.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
293;4.600.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
49;4.500.000;Müstakil Ev;140;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
193;3.850.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
250;3.600.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
277;3.200.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
312;3.000.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
164;2.900.000;Daire;140;3+1;Yok;Var;İzmir;Menemen
113;2.850.000;Daire;140;3+1;Yok;Var;İzmir;Menemen
144;2.650.000;Daire;140;3+1;Klima;Var;İzmir;Menemen
149;2.600.000;Daire;140;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
506;17.950.000;Villa;140;3+1;Şömine;Var;İzmir;Çeşme
487;16.200.000;Villa;140;3+1;Yok;Var;İzmir;Çeşme
460;138.500.000;Villa;140;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
446;12.750.000;Villa;140;4+1;Doğalgaz (Kombi);Yok;İzmir;Çeşme
430;10.650.000;Villa;140;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
337;4.750.000;Daire;139;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
158;4.025.000;Daire;138;3+1;Klima;Var;İzmir;Menemen
455;11.750.000;Villa;138;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
281;7.350.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
222;5.600.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
119;5.250.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
229;4.900.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
133;4.750.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
168;4.500.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
357;4.500.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
134;4.000.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
339;3.300.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
323;3.250.000;Daire;135;3+1;Klima;Var;İzmir;Menemen
198;3.100.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
178;3.000.000;Daire;135;3+1;Yok;Var;İzmir;Menemen
285;2.950.000;Daire;135;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
157;2.700.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
183;2.600.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
290;17.250.000;Daire;135;3+1;Klima;Var;İzmir;Menemen
177;16.250.000;Daire;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
11;15.500.000;Müstakil Ev;135;4+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
503;11.750.000;Villa;135;4+1;Klima;Var;İzmir;Çeşme
84;10.500.000;Villa;135;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
110;17.500.000;Villa;132;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
9;9.500.000;Müstakil Ev;130;3+1;Yok;Var;İzmir;Buca
259;5.990.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
176;5.950.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
348;5.850.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
386;5.750.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
200;4.500.000;Daire;130;3+1;Soba;Var;İzmir;Menemen
360;4.450.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
211;4.200.000;Daire;130;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
117;4.150.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
182;4.100.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
358;3.975.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
224;3.900.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
333;3.750.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
329;3.650.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
214;3.500.000;Daire;130;3+1;Klima;Var;İzmir;Menemen
380;3.250.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
257;2.650.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
476;13.500.000;Yazlık;130;2+1;Yok;Var;İzmir;Çeşme
232;13.000.000;Daire;130;3+1;Klima;Var;İzmir;Menemen
275;10.000.000;Daire;130;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
235;5.000.000;Daire;126;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
362;8.450.000;Daire;125;2+1;Klima;Var;İzmir;Buca
328;4.950.000;Daire;125;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
170;4.650.000;Daire;125;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
305;4.300.000;Daire;125;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
174;3.700.000;Daire;125;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
153;3.650.000;Daire;125;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
377;3.600.000;Daire;125;3+1;Yerden Isıtma;Var;İzmir;Menemen
217;3.500.000;Daire;125;3+1;Klima;Var;İzmir;Menemen
221;3.300.000;Daire;125;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
126;3.200.000;Daire;125;3+1;Klima;Var;İzmir;Menemen
473;24.750.000;Daire;125;2+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
309;2.950.000;Daire;125;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
346;2.800.000;Daire;125;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
276;2.070.000;Daire;125;3+1;Klima;Var;İzmir;Menemen
369;17.500.000;Daire;125;2+1;Merkezi (Pay Ölçer);Var;İzmir;Menemen
258;15.000.000;Daire;125;3+1;Yerden Isıtma;Var;İzmir;Menemen
248;5.950.000;Daire;123;3+1;Merkezi (Pay Ölçer);Var;İzmir;Menemen
213;7.000.000;Daire;122;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
125;6.250.000;Daire;122;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
321;6.100.000;Daire;122;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
63;8.250.000;Villa;120;2+1;Klima;Var;İzmir;Çeşme
347;7.950.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
231;6.900.000;Daire;120;3+1;Klima;Var;İzmir;Buca
264;6.500.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
303;6.400.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
398;6.200.000;Daire;120;3+1;Doğalgaz Sobası;Var;İzmir;Çeşme
161;4.950.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
145;4.800.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
423;4.500.000;Daire;120;4+1;Klima;Yok;İzmir;Çeşme
127;4.150.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
130;3.800.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
210;3.700.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
368;3.450.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
318;3.425.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
226;3.400.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
251;3.350.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
355;3.300.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
146;3.250.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
292;3.000.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
512;23.500.000;Villa;120;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
356;2.950.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
172;2.875.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
185;2.500.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
143;2.300.000;Daire;120;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
502;17.500.000;Villa;120;3+1;Klima;Var;İzmir;Çeşme
191;1.950.000;Daire;119;2+1;Yok;Var;İzmir;Menemen
107;12.500.000;Villa;117;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
361;5.690.000;Daire;116;3+1;Klima;Var;İzmir;Buca
230;3.750.000;Daire;116;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
175;4.300.000;Daire;115;3+1;Klima;Var;İzmir;Menemen
421;4.000.000;Daire;115;2+1;Yok;Var;İzmir;Çeşme
51;3.750.000;Müstakil Ev;115;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
291;3.600.000;Daire;115;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
435;10.500.000;Taş Ev;115;1+1;Yok;Yok;İzmir;Çeşme
152;6.000.000;Daire;114;3+1;Klima;Var;İzmir;Buca
298;2.750.000;Daire;114;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
223;3.850.000;Daire;113;2+1;Yok;Var;İzmir;Menemen
338;12.500.000;Daire;113;3+1;Klima;Var;İzmir;Menemen
332;3.250.000;Daire;112;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
190;7.645.000;Daire;110;2+1;Doğalgaz (Kombi);Var;İzmir;Buca
81;6.900.000;Villa;110;3+1;Şömine;Var;İzmir;Çeşme
261;6.650.000;Daire;110;2+1;Merkezi;Var;İzmir;Buca
324;4.900.000;Daire;110;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
132;4.750.000;Daire;110;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
115;4.200.000;Daire;110;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
215;4.100.000;Daire;110;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
371;30.000.000;Daire;110;2+1;Yok;Var;İzmir;Menemen
382;3.950.000;Daire;110;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
156;3.700.000;Daire;110;3+1;Klima;Var;İzmir;Menemen
128;3.500.000;Daire;110;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
302;3.250.000;Daire;110;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
41;14.000.000;Müstakil Ev;110;3+1;Yok;Var;İzmir;Çeşme
492;14.000.000;Müstakil Ev;110;3+1;Yok;Var;İzmir;Çeşme
247;1.990.000;Daire;110;3+1;Yok;Var;İzmir;Menemen
106;9.850.000;Villa;105;3+1;Klima;Var;İzmir;Çeşme
241;7.950.000;Daire;105;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
187;4.000.000;Daire;105;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
370;4.000.000;Daire;105;1+1;Yok;Yok;İzmir;Menemen
255;3.400.000;Daire;105;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
201;3.100.000;Daire;105;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
245;2.650.000;Daire;105;2+1;Doğalgaz (Kombi);Yok;İzmir;Menemen
306;2.650.000;Daire;105;2+1;Doğalgaz (Kombi);Yok;İzmir;Menemen
219;2.300.000;Daire;105;3+1;Yok;Var;İzmir;Menemen
465;13.500.000;Villa;105;2+1;Klima;Var;İzmir;Çeşme
408;8.500.000;Taş Ev;104;3+1;Klima;Yok;İzmir;Çeşme
266;7.150.000;Daire;100;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
390;5.250.000;Daire;100;2+1;Klima;Var;İzmir;Çeşme
299;3.200.000;Daire;100;3+1;Yok;Var;İzmir;Menemen
28;3.100.000;Müstakil Ev;100;2+1;Yok;Var;İzmir;Buca
131;3.100.000;Daire;100;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
218;3.000.000;Daire;100;2+1;Klima;Var;İzmir;Menemen
50;23.500.000;Müstakil Ev;100;2+1;Klima;Var;İzmir;Çeşme
181;2.890.000;Daire;100;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
364;2.600.000;Daire;100;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
365;2.595.000;Daire;100;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
495;17.000.000;Daire;100;2+1;Klima;Yok;İzmir;Çeşme
233;10.720.000;Daire;100;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
